DataYear,County,Fuel,MakeName,Model,Class,BodyStyle,VehicleType,Number of Vehicles
2022,San Bernardino,Electric,New Flyer,Xcelsior,8,Transit Bus,Bus,16
2022,San Bernardino,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,21
2022,San Bernardino,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,8
2022,San Bernardino,Electric,Volvo,Vnr,7,Chassis & Cab,Truck,1
2022,San Bernardino,Electric,Volvo,Vnr,7,Tractor Truck,Truck,2
2022,San Bernardino,Electric,Volvo,Vnr,8,Tractor Truck,Truck,1
2022,San Diego,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,16
2022,San Diego,Electric,Blue Bird,All American / All Canadian,"6, 7, 8",School Bus,Bus,13
2022,San Diego,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,2
2022,San Diego,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,8
2022,San Diego,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,2
2022,San Diego,Electric,Greenpower Motor,Evc210,7,Commercial / Shuttle Bus / Coach,Bus,1
2022,San Diego,Electric,Greenpower Motor,Evc210,7,Incomplete - Bus Chassis,Bus,1
2022,San Diego,Electric,IC Bus,Ce Series,7,School Bus,Bus,32
2022,San Diego,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,5
2022,San Diego,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,3
2022,San Diego,Electric,New Flyer,Xcelsior,8,Transit Bus,Bus,6
2022,San Diego,Electric,Proterra,Catalyst,8,Transit Bus,Bus,4
2022,San Diego,Electric,Xos,Sv01,6,Step Van,Delivery Van,2
2022,San Diego,Hydrogen,Gillig,Transit Bus,6,Transit Bus,Bus,7
2022,San Francisco,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,1
2022,San Francisco,Electric,BYD,High Floor,8,Coach Bus,Bus,10
2022,San Francisco,Electric,BYD,Transit Bus 30F,8,Transit Bus,Bus,15
2022,San Francisco,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,2
2022,San Francisco,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,5
2022,San Francisco,Electric,New Flyer,Xcelsior,8,Transit Bus,Bus,276
2022,San Francisco,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,1
2022,San Francisco,Electric,Proterra,Catalyst,8,Transit Bus,Bus,9
2022,San Joaquin,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,8
2022,San Joaquin,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,2
2022,San Joaquin,Electric,Proterra,Transit Bus 35F,8,Transit Bus,Bus,2
2022,San Joaquin,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,15
2022,San Luis Obispo,Electric,Greenpower Motor,Evs300,8,School Bus,Bus,1
2022,San Mateo,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,2
2022,San Mateo,Electric,BYD,Electric Truck,8,Tractor Truck,Truck,3
2022,San Mateo,Electric,BYD,Low Floor Double Deck,8,Coach Bus,Bus,1
2022,San Mateo,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,1
2022,Santa Barbara,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,1
2022,Santa Barbara,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,5
2022,Santa Barbara,Electric,BYD,Transit Bus 30F,8,Transit Bus,Bus,14
2022,Santa Barbara,Electric,Greenpower Motor,Ev350,8,Transit Bus,Bus,1
2022,Santa Barbara,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,2
2022,Santa Barbara,Electric,Proterra,Catalyst,8,Transit Bus,Bus,2
2022,Santa Barbara,Electric,Xos,Sv01,6,Step Van,Delivery Van,5
2022,Santa Clara,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,6
2022,Santa Clara,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,11
2022,Santa Clara,Electric,BYD,Electric Truck,8,Flat Bed /Platfrm,Truck,2
2022,Santa Clara,Electric,BYD,Low Floor,8,Coach Bus,Bus,28
2022,Santa Clara,Electric,BYD,Transit Bus 30F,8,Transit Bus,Bus,10
2022,Santa Clara,Electric,Proterra,Catalyst,8,Transit Bus,Bus,5
2022,Santa Clara,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,15
2022,Santa Cruz,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,3
2022,Santa Cruz,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,1
2022,Santa Cruz,Electric,Mack,Lr,8,Garbage,Truck,1
2022,Santa Cruz,Electric,Proterra,Catalyst,8,Transit Bus,Bus,3
2022,Shasta,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,6
2022,Shasta,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,3
2022,Shasta,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,4
2022,Shasta,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,1
2022,Shasta,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,3
2022,Shasta,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,2
2022,Shasta,Electric,Proterra,Catalyst,8,Transit Bus,Bus,1
2022,Sierra,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,2
2022,Solano,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,1
2022,Solano,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,5
2022,Solano,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,1
2022,Solano,Electric,BYD,Transit Bus 40F,8,Transit Bus,Bus,4
2022,Solano,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,1
2022,Sonoma,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,13
2022,Sonoma,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,5
2022,Sonoma,Electric,BYD,Transit Bus 30F,8,Transit Bus,Bus,3
2022,Sonoma,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,1
2022,Sonoma,Electric,Xos,Sv01,6,Step Van,Delivery Van,2
2022,Stanislaus,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,1
2022,Stanislaus,Electric,Greenpower Motor,Ev350,8,Transit Bus,Bus,4
2022,Stanislaus,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,1
2022,Stanislaus,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,5
2022,Tehama,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,6
2022,Tulare,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,10
2022,Tulare,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,6
2022,Tulare,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,6
2022,Tulare,Electric,Greenpower Motor,Ev350,8,Transit Bus,Bus,10
2022,Tulare,Electric,Greenpower Motor,Evc210,7,Commercial / Shuttle Bus / Coach,Bus,3
2022,Tulare,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,3
2022,Tulare,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,3
2022,Tulare,Electric,Proterra,Catalyst,8,Transit Bus,Bus,4
2022,Tulare,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,3
2022,Tuolumne,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,2
2022,Ventura,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,10
2022,Ventura,Electric,Blue Bird,All American / All Canadian,"6, 7, 8",School Bus,Bus,1
2022,Ventura,Electric,Brightdrop,Zevo 600,3,Delivery Van,Delivery Van,2
2022,Ventura,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,1
2022,Ventura,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,2
2022,Ventura,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,35
2022,Ventura,Electric,IC Bus,Ce Series,7,School Bus,Bus,1
2022,Ventura,Electric,Xos,Sv01,6,Step Van,Delivery Van,7
2022,Yolo,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,4
2022,Yolo,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,3
2022,Yolo,Electric,Proterra,Catalyst,8,Transit Bus,Bus,6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
