Year,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
2018,94590,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,95671,<2008,Battery Electric,OTHER/UNK,Heavy,1
2018,92283,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94235,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,94575,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,94520,2018,Battery Electric,OTHER/UNK,Heavy,1
2018,90686,<2008,Battery Electric,OTHER/UNK,Heavy,1
2018,95887,_RARE_,Battery Electric,OTHER/UNK,Heavy,3
2018,93636,2019,Battery Electric,NEWFLYER,Heavy,1
2018,95764,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,95447,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93521,2019,Battery Electric,OTHER/UNK,Heavy,7
2018,95237,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,95654,_RARE_,Battery Electric,OTHER/UNK,Heavy,3
2018,93569,<2008,Battery Electric,OTHER/UNK,Heavy,7
2018,90408,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,92315,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,90485,2018,Battery Electric,OTHER/UNK,Heavy,13
2018,94591,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,93286,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95467,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93511,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,90590,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,93238,2019,Battery Electric,OTHER/UNK,Heavy,14
2018,93841,2019,Battery Electric,OTHER/UNK,Heavy,13
2018,95172,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,92634,<2008,Battery Electric,NEWFLYER,Heavy,1
2018,95434,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94608,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95651,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,94709,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,95484,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,95513,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94314,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95907,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,92279,<2008,Battery Electric,NEWFLYER,Heavy,6
2018,94694,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,93531,2018,Battery Electric,OTHER/UNK,Heavy,5
2018,93088,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,94595,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,93600,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95815,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,90640,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93114,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95573,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,91982,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,92286,<2008,Battery Electric,OTHER/UNK,Heavy,15
2018,95215,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95012,<2008,Battery Electric,OTHER/UNK,Heavy,2
2018,94605,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,93612,2019,Battery Electric,_RARE_,Heavy,11
2018,93612,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,92022,<2008,Battery Electric,OTHER/UNK,Heavy,2
2018,93212,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93613,2018,Battery Electric,OTHER/UNK,Heavy,1
2018,93680,2019,Battery Electric,OTHER/UNK,Heavy,4
2018,95681,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,95226,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95674,2018,Battery Electric,_RARE_,Heavy,2
2018,91760,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95408,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,90403,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,90905,2019,Battery Electric,NEWFLYER,Heavy,1
2018,93603,2018,Battery Electric,OTHER/UNK,Heavy,2
2018,93536,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95121,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95464,2018,Battery Electric,OTHER/UNK,Heavy,2
2018,92887,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,94541,_RARE_,Battery Electric,OTHER/UNK,Heavy,4
2018,95368,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,95901,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,93533,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,93513,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,90254,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,95899,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93562,2018,Battery Electric,OTHER/UNK,Heavy,2
2018,92332,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,93232,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94606,<2008,Battery Electric,OTHER/UNK,Heavy,15
2018,91925,2018,Battery Electric,OTHER/UNK,Heavy,1
2018,92308,<2008,Battery Electric,OTHER/UNK,Heavy,3
2018,93614,2019,Battery Electric,OTHER/UNK,Heavy,5
2018,93621,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95295,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,92248,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,95259,2018,Battery Electric,NEWFLYER,Heavy,2
2018,92283,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95026,2019,Battery Electric,OTHER/UNK,Heavy,3
2018,93108,<2008,Battery Electric,_RARE_,Heavy,12
2018,95514,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,90488,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,93221,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95881,2019,Battery Electric,OTHER/UNK,Heavy,12
